,Unnamed: 0,Rank,Title,Description,Runtime,Genre,Rating,Metascore,Votes,Gross_Earning_in_Mil,Director,Actor
0,1,1,Batman v Superman: Dawn of Justice,"    Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",152,Action,6.4,44.0,640076,330.3,Zack Snyder,Ben Affleck
1,2,2,Suicide Squad,    A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,123,Action,6.0,40.0,609928,325.1,David Ayer,Will Smith
2,3,3,Captain America: Civil War,    Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,147,Action,7.8,75.0,674499,408.0,Anthony Russo,Chris Evans
3,4,4,Captain Fantastic,"    In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",118,Comedy,7.9,72.0,193920,5.88,Matt Ross,Viggo Mortensen
4,5,5,Deadpool,"    A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",108,Action,8.0,65.0,912563,363.0,Tim Miller,Ryan Reynolds
5,6,6,Nocturnal Animals,"    A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",116,Drama,7.5,67.0,242575,10.64,Tom Ford,Amy Adams
6,7,7,Doctor Strange,"    While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",115,Action,7.5,72.0,608539,232.6,Scott Derrickson,Benedict Cumberbatch
7,8,8,Arrival,    A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,116,Drama,7.9,81.0,602623,100.5,Denis Villeneuve,Amy Adams
8,9,9,Moana,"    In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",107,Animation,7.6,81.0,277698,248.7,Ron Clements,Auli'i Cravalho
9,10,10,Hidden Figures,    The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,127,Biography,7.8,74.0,204022,169.6,Theodore Melfi,Taraji P. Henson
10,11,11,Split,    Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,117,Horror,7.3,62.0,432295,138.2,M. Night Shyamalan,James McAvoy
11,12,12,X-Men: Apocalypse,"    In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.",144,Action,6.9,52.0,397593,155.4,Bryan Singer,James McAvoy
12,13,13,The Nice Guys,"    In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",116,Action,7.4,70.0,284645,36.26,Shane Black,Russell Crowe
13,14,14,Contratiempo,    A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,106,Crime,8.1,65.0,148015,532.1,Oriol Paulo,Mario Casas
14,15,15,Rogue One,    The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,133,Action,7.8,94.0,562083,151.1,Gareth Edwards,Felicity Jones
15,16,16,La La Land,"    While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",128,Comedy,8.0,78.0,513281,341.2,Damien Chazelle,Ryan Gosling
17,18,18,Miss Peregrine's Home for Peculiar Children,"    When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",127,Adventure,6.7,71.0,157265,87.24,Tim Burton,Eva Green
18,19,19,Hacksaw Ridge,"    World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",139,Biography,8.1,84.0,443202,67.21,Mel Gibson,Andrew Garfield
19,20,20,Ah-ga-ssi,"    A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",145,Drama,8.1,82.0,117295,2.01,Chan-wook Park,Kim Min-hee
20,21,21,The Love Witch,"    A modern-day witch uses spells and magic to get men to fall in love with her, with deadly consequences.",120,Comedy,6.2,79.0,13348,0.23,Anna Biller,Samantha Robinson
21,22,22,Kimi no na wa.,"    Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",106,Animation,8.4,57.0,202020,5.02,Makoto Shinkai,Ryûnosuke Kamiki
22,23,23,War Dogs,"    Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan.",114,Biography,7.1,25.0,182727,43.03,Todd Phillips,Jonah Hill
23,24,24,Gods of Egypt,"    Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",127,Action,5.4,96.0,107463,31.15,Alex Proyas,Brenton Thwaites
24,25,25,Manchester by the Sea,    A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,137,Drama,7.8,44.0,250603,47.7,Kenneth Lonergan,Casey Affleck
25,26,26,The Legend of Tarzan,"    Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",110,Action,6.2,67.0,164486,126.6,David Yates,Alexander Skarsgård
26,27,27,Shin Gojira,    Japan is plunged into chaos upon the appearance of a giant monster.,120,Action,6.8,68.0,23473,1.91,Hideaki Anno,Hiroki Hasegawa
27,28,28,Star Trek Beyond,"    The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.",122,Action,7.1,51.0,230171,158.8,Justin Lin,Chris Pine
28,29,29,Me Before You,    A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,106,Drama,7.4,66.0,212373,56.25,Thea Sharrock,Emilia Clarke
29,30,30,Fantastic Beasts and Where to Find Them,    The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,132,Adventure,7.3,99.0,414743,234.0,David Yates,Eddie Redmayne
30,31,31,Moonlight,"    A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",111,Drama,7.4,59.0,277501,27.85,Barry Jenkins,Mahershala Ali
31,32,32,Sing,"    In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",108,Animation,7.1,81.0,135709,270.4,Garth Jennings,Matthew McConaughey
32,33,33,Hunt for the Wilderpeople,    A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,101,Adventure,7.9,72.0,113680,5.2,Taika Waititi,Sam Neill
33,34,34,Busanhaeng,"    While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",118,Action,7.6,48.0,170374,2.13,Sang-ho Yeon,Gong Yoo
34,35,35,The Girl on the Train,    A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,112,Crime,6.5,41.0,171446,75.4,Tate Taylor,Emily Blunt
35,36,36,Passengers,    A malfunction in a sleeping pod on a spacecraft traveling to a distant colony planet wakes one passenger 90 years early.,116,Drama,7.0,71.0,354037,100.0,Morten Tyldum,Jennifer Lawrence
36,37,37,Don't Breathe,"    Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",88,Crime,7.1,69.0,225398,89.22,Fede Alvarez,Stephen Lang
37,38,38,Lion,"    A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",118,Biography,8.0,51.0,216759,51.74,Garth Davis,Dev Patel
39,40,40,13 Hours,"    During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",144,Action,7.3,48.0,121394,86.26,Michael Bay,John Krasinski
40,41,41,The Magnificent Seven,    Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.,132,Action,6.9,54.0,186772,52.85,Antoine Fuqua,Denzel Washington
41,42,42,The Conjuring 2,    Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,134,Horror,7.3,65.0,228339,93.43,James Wan,Vera Farmiga
42,43,43,Jason Bourne,    The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.,123,Action,6.6,58.0,210201,102.4,Paul Greengrass,Matt Damon
43,44,44,The BFG,"    An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",117,Adventure,6.4,66.0,78500,162.4,Steven Spielberg,Mark Rylance
44,45,45,A Cure for Wellness,"    An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem.",146,Drama,6.4,47.0,88268,55.48,Gore Verbinski,Dane DeHaan
45,46,46,Warcraft,"    As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",123,Action,6.8,32.0,243174,8.11,Duncan Jones,Travis Fimmel
46,47,47,Now You See Me 2,"    The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.",129,Action,6.5,46.0,252412,47.37,Jon M. Chu,Jesse Eisenberg
47,48,48,Live by Night,"    A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.",129,Action,6.4,49.0,52700,65.08,Ben Affleck,Ben Affleck
